	Biomass ratio (Strain2/Strain1)	Benzyl acetate production flux [mmol/gDCW/h]
178	0.895	2.6714353891134897
179	0.9	2.6644052959842437
180	0.905	2.657412106231004
181	0.91	2.650455530036681
182	0.915	2.643535280610999
183	0.92	2.6366510741510742
184	0.925	2.62980262980263
185	0.93	2.6229896696217976
186	0.935	2.6162119185375032
187	0.9400000000000001	2.6094691043144636
188	0.9450000000000001	2.602760957516745
189	0.9500000000000001	2.596087211471826
190	0.9550000000000001	2.5894476022353254
191	0.96	2.582841868556154
192	0.965	2.576269751842271
193	0.97	2.5697309961269346
194	0.975	2.5632253480354743
195	0.98	2.556752556752557
196	0.985	2.5503123739899567
197	0.99	2.5439045539548046
198	0.995	2.5375288533183267
199	1.0	2.531185031185031
